Fichero actualizado a fecha: 2014-10-19 02:29:29
Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido;
"Biblioteca Pública Municipal Miguel de Cervantes de Burgos";;"Juan Carlos Pérez Manrique";;"C/ Serramagna, 10";"09003";"Burgos";"1179297510462";;"947 288 893";;;"biblioteca@aytoburgos.es";"http://www.aytoburgos.es/biblioteca";"42.34322515730961#-3.717327117919922#88";;"Burgos";"1284269348748";1284223903619;20140313;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284223903619/DirectorioPadre";
"Biblioteca Pública Municipal ""Antonio Gamoneda"" de La Pola de Gordón";"Biblioteca Pública Municipal ""Antonio Gamoneda"" de La Pola de Gordón";"Josefina Ajenjo Rodríguez";"Avda. Cardenal Aguirre, 35";"Avda. Cardenal Aguirre, 35";"24600";"Pola de Gordón (La)";"1179297884683";;"987 588 324, 987 588 003 Ayto.";"987 588 132 Ayto.";;"bibliotecapola@hotmail.com";;"42.85416569268233#-5.670468807220459#100";;"León";"1284269349703";1192620424811;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1192620424811/DirectorioPadre";
"Biblioteca Pública Municipal de Astorga";"Biblioteca Pública Municipal de Astorga";"Esperanza Marcos de Paz";"C/ Luis Braille, s/n";"C/ Luis Braille, s/n";"24700";"Astorga";"1179297766689";;"987 618 690, 987 616 838 Ayto.";"987 619 299 Ayto.";;"biblioteca@ayuntamientodeastorga.com";;"42.45359600320348#-6.052147150039673#106";;"León";"1284269349703";1194418732336;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194418732336/DirectorioPadre";
"Biblioteca Pública Municipal de Valderas";"Biblioteca Pública Municipal de Valderas";"Víctor Velado Cambero";"C/ Calvo Sotelo, s/n. 24220 Valderas (León)";"C/ Calvo Sotelo, s/n";"24220";"Valderas";"1179297976155";;"987 763 159, 987 762 001 (Ayto.)";"987 763 175";;;;"42.07808645257069#-5.442620515823364#100";;"León";"1284269349703";1194505230189;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505230189/DirectorioPadre";
"Biblioteca Pública Municipal de Valdepolo";"Biblioteca Pública Municipal de Valdepolo";"Sandra Prado Puente";"C/ Carretera, s/n. 24930 Valdepolo (León)";"C/ Carretera, s/n";"24930";"Valdepolo";"1179297974703";;"987 337 167, 987 337 203 (Ayto.)";;;;;"42.57635938945676#-5.225479602813721#100";;"León";"1284269349703";1194528356154;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194528356154/DirectorioPadre";
"Biblioteca Pública Municipal ""Cronista Luis Pastrana"" de León";"Biblioteca Pública Municipal ""Cronista Luis Pastrana"" de León";"María Dolores Martínez Combó";"Avda. de la Magdalena, 1. 24009 León";"Avda. de la Magdalena, 1";"24009";"León";"1179297860755";;"987 276 997, 987 276 998 (Ayto.)";"987 276 996";;"mariadolores.martinez@aytoleon.com";;"42.60045113893774#-5.586354732513428#94";;"León";"1284269349703";1194528358868;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194528358868/DirectorioPadre";
"Biblioteca Pública Municipal de Carracedelo";"Biblioteca Pública Municipal de Carracedelo";"Maria Cruz Miguel Álvarez";"Plaza del Ayuntamiento, 1. 24549 Carracedelo (León)";"Plaza del Ayuntamiento, 1";"24549";"Carracedelo";"1179297809126";;"987 562 659, 987 562 610 (Ayto.)";;;"aytocarracedelo@terra.es";;"42.55602819099177#-6.732516288757324#100";;"León";"1284269349703";1194937148058;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194937148058/DirectorioPadre";
"Biblioteca Pública Municipal de Quintanilla de Sollamas";"Biblioteca Pública Municipal ""Llamas de la Ribera"" de Quintanilla de Sollamas";"Mercedes Pérez Fernández";"C/ Real, s/n. 24271 Quintanilla de Sollamas (León)";"C/ Real, s/n";"24271";"Llamas de la Ribera";"1179297863734";;"987 362 404, 987 362 013 (Ayto.)";;;"aytollamas@forum.com, casaculturaquintanilla@yahoo.es";;"42.60582114480659#-5.819942951202393#94";;"León";"1284269349703";1194937148796;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194937148796/DirectorioPadre";
"Biblioteca Azcárate. León";"Biblioteca Azcárate de la Fundación Sierra Pambley. León";;"C/ Sierra Pambley, 2. 24003 León";"C/ Sierra Pambley, 2";"24003";"León";"1179297860755";;"987 229 369";;;"biblioteca1@sierrapambley.org";"http://www.sierrapambley.org/biblioteca-azcarate/";"42.5992744140655#-5.56781530380249#100";;"León";"1284269349703";1201083669562;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1201083669562/DirectorioPadre";
"Biblioteca Pública Municipal de Armunia";"Biblioteca Pública Municipal de Armunia";;"San Juan Bosco, 33. 24009 León";"San Juan Bosco, 33";"24009";"León";"1179297860755";;"987 218 760, 987 276 998 (Ayto.)";;;;;"42.57599596720626#-5.588779449462891#94";;"León";"1284269349703";1213708662866;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1213708662866/DirectorioPadre";
"Biblioteca Pública de León";;;;"C/ Santa Nonia, 5";"24003";"León";"1179297860755";;"987 206 710";;"987 203 025";"bpleon@jcyl.es";"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla66y33/1284212879528/_/_/_";"42.59542818513674#-5.571860074996948#100";;"León";"1284269349703";1284248875439;20140313;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284248875439/DirectorioPadre";
"Biblioteca Pública Municipal de Astudillo";;"Luis Ángel Celada Villandiego";;"C/ Juan de Tapia, s/n";"34450";"Astudillo";"1179298059220";;"979 822 033";;;"registro@astudillo.es";;"42.19315495240491#-4.296244382858276#100";;"Palencia";"1284269350265";1194332695389;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1194332695389/DirectorioPadre";
"Biblioteca Pública Municipal ""Fray Miguel de Benavides"" de Carrión de los Condes (Palencia)";;"María Ángeles Castrillo Martínez";;"Pza. Condes de Carrión s/n";"34120";"Carrión de los Condes";"1179298069830";;"979 880 631";;;"bibliocarrion@yahoo.es";"http://www.bibliotecaspublicas.info/bpcyl/info/detalle_biblioteca?c_biblioteca_id=94&contenedor=contenedor_popup";"42.337396387789504#-4.604537487030029#106";;"Palencia";"1284269350265";1194332703050;20140515;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1194332703050/DirectorioPadre";
"Biblioteca Pública Municipal de Frómista";;"Soraya Plaza Aparicio";"C/ Las Francesas, s/n. 34440 Frómista";"C/ Las Francesas, s/n";"34440";"Frómista";"1179298083362";;"979 810 502";;;"turismo@fromista@com";;"42.267575740759376#-4.409090280532837#100";;"Palencia";"1284269350265";1195196631628;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196631628/DirectorioPadre";
"Biblioteca Pública Municipal de Saldaña";;"Pilar Montes Maldonado";"Avda. José Quintana, s/n. 34100 Saldaña";"Avda. José Quintana, s/n";"34100";"Saldaña";"1179298116853";;"979 891 134";;;"biblioteca@saldania.com";;"42.52405222281225#-4.7348713874816894#94";;"Palencia";"1284269350265";1195196674553;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196674553/DirectorioPadre";
"Biblioteca Pública Municipal de Villada";;"Katia Ayerza Sanzo";"Plaza Mayor, s/n. 34340 Villada";"Plaza Mayor, s/n";"34340";"Villada";"1179298134961";;;;;"bibliovi@hotmail.hotmail.com";;"42.250860950068564#-4.966925382614136#106";;"Palencia";"1284269350265";1195196692731;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196692731/DirectorioPadre";
"Centro de Documentación del Arte Románico";;;"Monasterio de Santa María la Real, 34800 Aguilar de Campoo, Palencia";"Monasterio de Santa María la Real";"34800";"Aguilar de Campoo";"1179298051138";;"979 125 000";;;"info@santamarialareal.org";"http://www.romanicodigital.com/centro-documentacion-arte-romanico.aspx";"42.79574704878071#-4.272222518920898#94";;"Palencia";"1284269350265";1284224801374;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1284224801374/DirectorioPadre";
"Biblioteca Pública Municipal de Fuenteguinaldo";"Biblioteca Pública Municipal de Fuenteguinaldo";"Tomi Sánchez Carreño";"Plaza de la Constitución, 1. 37540 Fuenteguinaldo (Salamanca)";"Plaza de la Constitución, 1";"37540";"Fuenteguinaldo";"1179298244590";;"923 471 000";;"923 471 001";"tomibibli@hotmail.com";;"40.44786150194002#-6.747751235961914#82";;"Salamanca";"1284269350572";1195686970803;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195686970803/DirectorioPadre";
"Biblioteca Pública Municipal de Guijuelo";;"María A. Pérez González";;"C/ Teso de la Feria, 9";"37770";"Guijuelo";"1179298254513";;"923 581 970";;"923 580 787";"biblioteca@guijuelo.es";;"40.56047123499004#-5.671820640563965#88";;"Salamanca";"1284269350572";1195686993637;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195686993637/DirectorioPadre";
"Biblioteca Pública Municipal de Cabrerizos";;"Javier Alonso González";;"Avda. del Manzano, s/n";"37196";"Cabrerizos";"1179298206129";;"923 209 183";;"923 289 093";"jalonsagra@hotmail.com";;"40.98002766348274#-5.6108808517456055#88";;"Salamanca";"1284269350572";1195801293848;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801293848/DirectorioPadre";
"Biblioteca Pública Municipal de Ayllón";;"Mª Carmen Melchor Pacheco";"Plza. Obispo Vellosillo, 1. 40520 Ayllón";"Plza. Obispo Vellosillo, 1";"40520";"Ayllón";"1179298412438";;"921 553 916";"921 553 336";;"biblioteca@ayllon.es";;"41.42086311158452#-3.3771800994873047#94";;"Segovia";"1284269350926";1191823340728;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1191823340728/DirectorioPadre";
"Biblioteca Pública Municipal de Nava de la Asunción";;"Laura García Sánchez";"Plza. Mayor, s/n. 40450 Nava de la Asunción";"Plza. Mayor, s/n";"40450";"Nava de la Asunción";"1179298526304";;"921 580 143";;;"biblioteca@navadelaasuncion.org";;"41.15650003984256#-4.488698244094849#100";;"Segovia";"1284269350926";1191909671072;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1191909671072/DirectorioPadre";
"Centro de Documentación del CENEAM";;"Rosario Toril";;"Paseo José Mª Ruiz-Dana, s/n";"40109";"Pradera de Navalhorno (La)";"1179298555535";;"921 473 869";"921 471 746";;"bib.ceneam@oapn.es, doc.ceneam@oapn.es";"http://www.magrama.gob.es/es/ceneam/centro-de-documentacion-ceneam";"40.87302619480758#-4.019966125488281#88";;"Segovia";"1284269350926";1230984547003;20140514;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1230984547003/DirectorioPadre";
"Biblioteca Pública Municipal de Mayorga de Campos (Centro Cívico Modesto Lafuente)";;"Lorena Peláez Claro";;"C/ Derecha, 23";"47680";"Mayorga";"1179469262536";;"983 752 027";;;"biblioteca_mayorga@hotmail.com";;"42.1674113938766#-5.263309478759766#88";;"Valladolid";"1284269351464";1193641886620;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641886620/DirectorioPadre";
"Biblioteca Pública Municipal de Simancas";;"Evangelina Valentín Gómez";;"C/ Cañuelo, s/n";"47130";"Simancas";"1179469300497";;"983 590 409";;;"evabiblio@hotmail.com";"http://www.aytosimancas.es/desarrolloSecciones.php?sec_id=35";"41.58871053907875#-4.829156398773193#94";;"Valladolid";"1284269351464";1193641922144;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641922144/DirectorioPadre";
"Biblioteca Pública Municipal de Cabezón de Pisuerga";;"Esperanza Martín Torres";;"C/ Constitución 7";"47260";"Cabezón de Pisuerga";"1179469240492";;"983 500 616";;"983 500 666";"martine@aytocabezondepisuerga.es";;"41.73519798789358#-4.645929336547852#88";;"Valladolid";"1284269351464";1200230041267;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1200230041267/DirectorioPadre";
"Biblioteca Pública Municipal ""Rosa Chacel""";;"Valle Caballero Herrero";;"Centro Cívico Zona Sur. Pza. Juan de Austria, 11";"47006";"Valladolid";"1179469311668";;"983 426 343";;;"bmrc@ava.es";;"19.734755#-101.17113#88";;"Valladolid";"1284269351464";1202286543487;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286543487/DirectorioPadre";
"Biblioteca Pública Municipal ""Rondilla""";"Biblioteca Pública Municipal ""Rondilla"" de Valladolid";"Isabel Rojo García";;"Centro Cívico Rondilla. C/ Alberto Fernández, 3.";"47010";"Valladolid";"1179469311668";;"983 426 408";;;"bmro@ava.es";;"41.66397#-4.725782#88";;"Valladolid";"1284269351464";1202286660189;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286660189/DirectorioPadre";
"Punto de Préstamo Barrio Esgueva. Valladolid";;;;"Centro Cívico. C/ Madre de Dios, 20";"47011";"Valladolid";"1179469311668";;"983 310 529";;;;;"41.659992064835016#-4.715838432312012#88";;"Valladolid";"1284269351464";1202286784852;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286784852/DirectorioPadre";
"Punto de Préstamo Barrio de San Pedro Regalado. Valladolid";;;;"Centro de Actividades Ciudadanas. C/ Arturo Moliner, s/n";"47011";"Valladolid";"1179469311668";;"983 252 435";;;;;"41.6681673969973#-4.707555770874023#88";;"Valladolid";"1284269351464";1202287460555;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202287460555/DirectorioPadre";
"Biblioteca General Universitaria Reina Sofía. Valladolid";;"Carmen de Miguel Murado";;"C/ Chancillería, 6";"47003";"Valladolid";"1179469311668";;"983 423 029";"983 423 030";;"biblioteca.reina.sofia@uva.es";"http://www.uva.es/opencms/contenidos/valladolid/bibliotecas/reinaSofia/";"41.659318755925156#-4.717512130737305#82";;"Valladolid";"1284269351464";1202287795116;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202287795116/DirectorioPadre";
"Zamora";;;;;;;;"Si";;;;;;;;"Bibliotecas";"1284268025321";1284269351631;20140313;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284269351631/DirectorioPadre";
"Biblioteca Diocesana de Zamora";;"José Ángel Rivera de las Heras";"Obispado de Zamora. Puerta del Obispo, 2. 49001 Zamora";"Obispado de Zamora. Puerta del Obispo, 2";"49001";"Zamora";"1179469491795";;"980 531 802";"980 509 082";;"ahdza@planalfa.es";"http://www.obispadodezamora.es";"41.498694281902445#-5.754432678222656#94";;"Zamora";"1284269351631";1196836287729;20140313;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1196836287729/DirectorioPadre";
"Biblioteca Pública Municipal de Fuentes de Ropel";"Biblioteca Pública Municipal de Fuentes de Ropel";"Mª Ángeles Gallego González";"Plaza de Alfonso XIII, 1. 49670 Fuentes de Ropel (Zamora)";"Plaza de Alfonso XIII, 1";"48670";"Fuentes de Ropel";"1179469367160";;"980 663 005 (Ayto.)";;"980 663 005 (Ayto.)";;;"42.0028126876299#-5.54534912109375#88";;"Zamora";"1284269351631";1203344048445;20140313;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1203344048445/DirectorioPadre";
"Espacio Joven de Valladolid";"Ayuntamiento de Valladolid";;;"Paseo de Zorrilla, 101";"47007";"Valladolid";"1179469311668";;"983 134 100";;"983 134 106.";"espaciojoven@ava.es";"http://espaciojovenvalladolid.es";"41.62952580847714#-4.741823673248291#94";"<p>Es un servicio del Centro de programas juveniles del Ayuntamiento de Valladolid dirigido especialmente a j&oacute;venes de 14 a 35 a&ntilde;os. Su objetivo es facilitar el desarrollo de actividades juveniles de la ciudad en general y del barrio en particular.Es tambi&eacute;n un punto de encuentro y reuni&oacute;n de los diferentes colectivos de j&oacute;venes de Valladolid.</p>
<p>Ofrece entre otros, los siguientes servicios: acceso gratuito a internet, estudio de grabaci&oacute;n, sala de exposiciones, salas de reuniones, auditorio para conciertos, teatro, baile, salas de ensayo,&nbsp;centro de informaci&oacute;n juvenil, y muchos m&aacute;s.</p>";"Valladolid";"1284266926630";1284243130050;20130508;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284243130050/DirectorioPadre";
"Casa de Cultura (Sotillo de la Adrada)";;;;"Plaza España, s/n";;"Sotillo de la Adrada";"1179297278985";;"918 860 002";;;;"http://www.sotillo.net/";"40.291824#-4.583991#88";"<p>El edifcio que ocupa actualmente la Casa de Cultura albergando la Biblioteca y el Centro de Acceso P&uacute;blico a Internet, se conoce tambi&eacute;n como el Ayuntamiento Viejo, por ser esta la funci&oacute;n que ten&iacute;a hasta la construcci&oacute;n de la nueva casa consistorial a finales de los a&ntilde;os 80.</p>
<p>Pese a la constancia de la existencia de una casa del Concejo en el siglo XVI, este imponente edificio encaja en el estilo dominante en la comarca en el siglo XVIII, momento en el que se construy&oacute;.</p>
<p>Destaca especialmente por sus p&oacute;rticos, actualmente cubiertos y por la balconada en piedra que aparece en el segundo piso de su fachada principal.</p>";"Ávila";"1284266923596";1284236122732;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236122732/DirectorioPadre";
"Casa Municipal de Cultura (Miranda de Ebro)";;;;"Río Ebro, 31.";"09200";"Miranda de Ebro";"1179297562001";;"947 330 471";;;;;"42.68197#-2.9446588#88";"<p>La Casa de Cultura se construy&oacute; en 1987. Esta construcci&oacute;n de tres plantas cuenta con dos salas de exposiciones, dos bibliotecas y dos salas de conferencias. <br />
Dentro de la misma se sit&uacute;a igualmente el teatro dedicado a las representaciones teatrales, danza, conciertos, cine y congresos.</p>
<p>Dispone de un puesto de control de iluminaci&oacute;n, audio y cine en fondo de sala, 2&ordf; planta.<br />
&nbsp;</p>
<p><strong>Aforo </strong></p>
<ul>
<li>Aforo: 388</li>
</ul>
<p><strong>Camerinos </strong></p>
<ul>
<li>Individuales: 2</li>
<li>Colectivos: 2</li>
<li>Capacidad: 26</li>
</ul>";"Burgos";"1284266924116";1284236123205;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236123205/DirectorioPadre";
"Centro Cultural de San Julián (Burgos)";"Ayuntamiento de Burgos";;;"C/ Caja de Ahorros Municipal, 7";"09001";"Burgos";"1179297447246";;"947 277 912";;;;"http://www.aytoburgos.es/";"42.334972#-3.6992135#88";;"Burgos";"1284266924116";1284236123905;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236123905/DirectorioPadre";
"Centro Cultural Caja de Burgos (Espinosa de los Monteros)";"Gestionado por Caja de Burgos";;;"C/ Progreso, 12";"09560";"Espinosa de los Monteros";"1182753755452";;"947 120 002";;;;;"43.075916#-3.5505223#88";;"Burgos";"1284266924116";1284236225743;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236225743/DirectorioPadre";
"Centro Cultural Río Selmo (Ponferrada)";;;;"C/ Río Selmo, 12";"24400";"Ponferrada";"1179297888504";;"987 413 081";;;;;"42.548548587847605#-6.597583083328232#82";;"León";"1284266925489";1284326622313;20140528;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284326622313/DirectorioPadre";
"Palencia";;;;;;;;"Si";;;;;;;;"Centros culturales polivalentes";"1284235937971";1284266925651;20130429;"http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284266925651/DirectorioPadre";
"Edificio de Usos Múltiples (Alar del Rey)";;;;"Edificio de Usos Múltiples, s/n";"34480";"Alar del Rey";"1179298055413";;;;;;;"42.658815800920756#-4.309681868817165#88";;"Palencia";"1284266925651";1284236224428;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236224428/DirectorioPadre";
"Casa de Cultura (Ciudad Rodrigo)";"Ayuntamiento de Ciudad Rodrigo";;;"Plaza del Conde, 2";"37500";"Ciudad Rodrigo";"1179298231776";;"923 461 862";;"923 461 862";"casacultura@aytociudadrodrigo.es";"http://www.aytociudadrodrigo.es/";"40.598656#-6.533522#88";"<p>Este palacio que fue de &ldquo;Los Cornejo&rdquo; es en la actualidad propiedad municipal y cumple las funciones de centro cultural mirobrigense. La Biblioteca P&uacute;blica Municipal de Ciudad Rodrigo (Salamanca), est&aacute; ubicada en la segunda planta de la Casa Municipal de Cultura.</p>
<p>El edificio&nbsp;dispone de dos salas de exposiciones: Sala Inferior y Sala Superior.<br />
Sala Inferior:<br />
Superficie: 114 m2.<br />
Metros lineales: 35,70.<br />
Vitrinas : 12,25 m.<br />
Sistema de montaje con varillas y focos dirigibles.</p>
<p>Sala Superior:<br />
Superficie: 95 m2.<br />
Metros lineales: 13,4.<br />
Vitrinas verticales y horizontales: 17 m2.<br />
Sistema de montaje en varillas y focos orientables. Cuenta con una tarima para conferencias de 10 m2. Mesas, sillas y atril en tarima. Megafon&iacute;a, equipo de sonido, v&iacute;deo y pantalla.<br />
<br />
Comenz&oacute; a funcionar en el a&ntilde;o 1986. Los bibliogr&aacute;ficos iniciales comprend&iacute;a los procedentes de la antigua Biblioteca, instalada en las dependencias del Ayuntamiento, con la correspondiente inclusi&oacute;n del fondo fundacional donado por la Junta de Castilla y Le&oacute;n.<br />
<br />
En la actualidad est&aacute; integrada en el sistema de Bibliotecas de Castilla y Le&oacute;n en el marco del Sistema Provincial de Salamanca.<br />
<br />
<br />
ACTIVIDADES.<br />
<br />
Biblioteca de Verano.<br />
En el a&ntilde;o 1993 surge la idea de ampliar los servicios que la Biblioteca P&uacute;blica Municipal ven&iacute;a prestando a sus usuarios.<br />
<br />
La experiencia hab&iacute;a demostrado que durante los meses estivales se incrementaba el n&uacute;mero de usuarios adultos, que utilizaban las aulas como lugar de estudio, en detrimento del servicio de lectura y pr&eacute;stamo en sala, sobre todo entre el p&uacute;blico infantil, que descend&iacute;a considerablemente.<br />
<br />
Por todo ello se pone en marcha un programa de dinamizaci&oacute;n de la lectura con el que se pretende dar a conocer un equipamiento cultural, p&uacute;blico y gratuito, como tambi&eacute;n los servicios que este comporta; potenciar el uso de los mismos por parte del p&uacute;blico habitual de la Biblioteca y estimular sobre todo el h&aacute;bito de lectura, todo ello en un espacio abierto utilizado habitualmente como lugar de ocio.<br />
<br />
As&iacute; es como desde el parque de &ldquo;La Glorieta&rdquo; la Biblioteca P&uacute;blica Municipal ofrece un servicio de pr&eacute;stamo infantil y de adultos, junto al servicio de lectura de publicaciones peri&oacute;dicas. Todo ello en horario de ma&ntilde;ana de 12h a 14:00h. y de 17:30 a 20:30 horasde lunes a viernes.<br />
<br />
Adem&aacute;s se llevan a cabo una serie de actividades desarrolladas mediante talleres de animaci&oacute;n a la lectura como el de teatro, manualidades, cuenta cuentos, juegos, reciclaje, etc., que han ido variando a lo largo del tiempo que lleva funcionando dicha Biblioteca.<br />
<br />
&nbsp;</p>
<ul>
<li>Aforo
<ul>
<li>Aforo: 60</li>
</ul>
</li>
</ul>";"Salamanca";"1284266925920";1284236225528;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284236225528/DirectorioPadre";
"Multiusos Sánchez Paraíso (Salamanca)";"Ayuntamiento de Salamanca";;;"Avenida de los Cipreses s/n";"37004";"Salamanca";"1179298323669";;"923 222 047";;"923 222 060";"info@MultiusosSanchezParaiso.es";"http://www.multiusossanchezparaiso.es/";"40.97910025179464#-5.650421977043152#88";;"Salamanca";"1284266925920";1284286480299;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284286480299/DirectorioPadre";
"Sala Cultural Alfonsa de la Torre (Cuéllar)";"Ayuntamiento de Cuéllar";;;"C/ Solana Alta, 5";"40200";"Cuéllar";"1179298428248";;;;;;"http://www.aytocuellar.es/";"41.40137463012847#-4.314279556274414#88";"<p>En la Sala Cultural Alfonsa de la Torre, se ofrecen una amplia variedad de actividades culturales y exposiciones: fotograf&iacute;a, pintura, teatro infantil y adultos, cine infantil y adultos, cine forum.</p>
<p>&nbsp;</p>";"Segovia";"1284266926232";1284270484829;20140425;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284270484829/DirectorioPadre";
"Centro Cultural Los Pinares (Nava de la Asunción)";;;;"Ctra. Coca, 2";"40450";"Nava de la Asunción";"1179298526304";;;;;;;"41.15872142449399#-4.487507343292236#94";;"Segovia";"1284266926232";1284320208545;20140506;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284320208545/DirectorioPadre";
"Centro de Recepción de Visitantes ""El Fielato"" (Soria)";;;;"C/ Nuestra Señora del Puente, s/n (junto a los Arcos de San Juan de Duero)";"42005";"Soria";"1179469197687";;"975 211 492";;;"turismo@ayto-soria.org";"http://www.soria.es/";"41.76724670292393#-2.4541783332824707#82";"<p>Antiguo fielato, almac&eacute;n de grano convertido en un espacio de referencia para los viajeros.&nbsp; Consta de dos plantas: la primera cuenta con sala de proyecciones, cafeter&iacute;a y aseos, mientras que en la segunda planta se ubica un centro de interpretaci&oacute;n de la historia de Soria y de las m&aacute;rgenes del Duero, una sala de exposiciones y otra de uso polivalente.</p>";"Soria";"1284266926489";1284279121309;20140124;"http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1284279121309/DirectorioPadre";
