Nombre del Organismo;Descripción;DatosPersonales;Dirección;Calle;CodigoPostal;Localidad;Localidad;SoloClasificar;Teléfono;Telefax oficial;Fax;e-mail;Páginas de internet;Posicion;Información Adicional;Directorio Superior;Identificador Directorio Superior;Identificador;FechaModificacion;Enlace al contenido
Biblioteca Pública Municipal de Arévalo;;Agustín García Vargas;C/ Alhóndiga, s/n 05200 Arévalo;C/ Alhóndiga, s/n;5200;Arévalo;1,18E+12;;920 300 770;;;puntoinformacionjuvenil@gmail.com;;41.06516027571446#-4.719212651252747#112;;Ávila;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1192514469861/DirectorioPadre
Biblioteca Pública Municipal de El Hoyo de Pinares;Biblioteca Pública Municipal de Hoyo de Pinares;Jesús Fernández Fernández;C/ Apolinar Estevez, 28. 05250 El Hoyo de Pinares;C/ Apolinar Estevez, 28;5250;Hoyo de Pinares (El);1,18E+12;;918 638 808;;;chuchibiblioteca@hotmail.com;;40.50118379813788#-4.424797296524048#112;;Ávila;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1193120402937/DirectorioPadre
Biblioteca Pública Municipal de Piedralaves;;Verónica García Pérez;;Plaza Agapito Eloy Lefler, 2;5440;Piedralaves;1,18E+12;;918 665 672;;;biblio_piedralaves@hotmail.com;;40.31807840421396#-4.699112176895142#106;;Ávila;1,28E+12;1,19E+12;20140912;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193120404419/DirectorioPadre
Biblioteca Pública Municipal de Ávila;"Biblioteca ""Posada de la Feria""";Nuria Hernández Camarero;Plaza de la Feria, 2. 05002 Ávila;Plaza de la Feria, 2;5002;Ávila;1,18E+12;;920 354 000 Ext. 805;;;posada@ayuntavila.com;http://www.avila.es/areas-destacadas/bibliotecas-municipales;40.651410232749015#-4.699997305870056#106;;Ávila;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1193641946056/DirectorioPadre
Biblioteca Pública Municipal de Lerma;Biblioteca Pública Municipal de Lerma;Arancha Serna Moneo;;C/ Barco, 13;9340;Lerma;1,18E+12;;947 170 175;;;biblioteca@aytolerma.com;;42.02663073482262#-3.7569808959960937#88;;Burgos;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1193292153778/DirectorioPadre
Biblioteca Pública Municipal de Pradoluengo;;Juan José Martín García;;Plaza Clemente Zaldo, 12;9260;Pradoluengo;1,18E+12;;947 586 017;;;biblioprado@yahoo.es;http://pradoluengo.burgos.es/turismo-y-ocio/bibliotecas;42.32422217150224#-3.199639320373535#88;;Burgos;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1193378559315/DirectorioPadre
Biblioteca Pública Municipal del Teatro Principal de Burgos;;Juan Carlos Pérez Manrique;;C/ Paseo del Espolón, s/n;9003;Burgos;1,18E+12;;947 288 873;;;biblioteca@aytoburgos.es;http://www.aytoburgos.es/biblioteca;42.34138538637749#-3.7005043029785156#88;;Burgos;1,28E+12;1,19E+12;20140313;http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1193471127439/DirectorioPadre
Biblioteca del Centro Asociado de la UNED en Burgos;;;Avda. Cantabria, s/n. 09006 Burgos;Avda. Cantabria, s/n;9006;Burgos;1,18E+12;;947 244 005;;;ecolomaordax@burgos.uned.es;http://www.uned.es/ca-burgos/biblioteca.html;42.351884045719615#-3.689260482788086#82;;Burgos;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1202288127996/DirectorioPadre
Biblioteca del Monasterio de San Pedro de Cardeña;;;;Monaterio de San Pedro de Cardeña (Castrillo del Val);9193;Castrillo del Val;1,18E+12;;947 290 033;947 290 075;;;;42.31356022009682#-3.5857486724853515#82;;Burgos;1,28E+12;1,20E+12;20140313;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1202289415632/DirectorioPadre
Biblioteca Pública Municipal Miguel de Cervantes de Burgos;;Juan Carlos Pérez Manrique;;C/ Serramagna, 10;9003;Burgos;1,18E+12;;947 288 893;;;biblioteca@aytoburgos.es;http://www.aytoburgos.es/biblioteca;42.34322515730961#-3.717327117919922#88;;Burgos;1,28E+12;1,28E+12;20140313;http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284223903619/DirectorioPadre
"Biblioteca Pública Municipal ""Antonio Gamoneda"" de La Pola de Gordón";"Biblioteca Pública Municipal ""Antonio Gamoneda"" de La Pola de Gordón";Josefina Ajenjo Rodríguez;Avda. Cardenal Aguirre, 35;Avda. Cardenal Aguirre, 35;24600;Pola de Gordón (La);1,18E+12;;987 588 324, 987 588 003 Ayto.;987 588 132 Ayto.;;bibliotecapola@hotmail.com;;42.85416569268233#-5.670468807220459#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1192620424811/DirectorioPadre
Biblioteca Pública Municipal de Astorga;Biblioteca Pública Municipal de Astorga;Esperanza Marcos de Paz;C/ Luis Braille, s/n;C/ Luis Braille, s/n;24700;Astorga;1,18E+12;;987 618 690, 987 616 838 Ayto.;987 619 299 Ayto.;;biblioteca@ayuntamientodeastorga.com;;42.45359600320348#-6.052147150039673#106;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194418732336/DirectorioPadre
Biblioteca Pública Municipal de Valderas;Biblioteca Pública Municipal de Valderas;Víctor Velado Cambero;C/ Calvo Sotelo, s/n. 24220 Valderas (León);C/ Calvo Sotelo, s/n;24220;Valderas;1,18E+12;;987 763 159, 987 762 001 (Ayto.);987 763 175;;;;42.07808645257069#-5.442620515823364#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505230189/DirectorioPadre
Biblioteca Pública Municipal de Valdepolo;Biblioteca Pública Municipal de Valdepolo;Sandra Prado Puente;C/ Carretera, s/n. 24930 Valdepolo (León);C/ Carretera, s/n;24930;Valdepolo;1,18E+12;;987 337 167, 987 337 203 (Ayto.);;;;;42.57635938945676#-5.225479602813721#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194528356154/DirectorioPadre
"Biblioteca Pública Municipal ""Cronista Luis Pastrana"" de León";"Biblioteca Pública Municipal ""Cronista Luis Pastrana"" de León";María Dolores Martínez Combó;Avda. de la Magdalena, 1. 24009 León;Avda. de la Magdalena, 1;24009;León;1,18E+12;;987 276 997, 987 276 998 (Ayto.);987 276 996;;mariadolores.martinez@aytoleon.com;;42.60045113893774#-5.586354732513428#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194528358868/DirectorioPadre
Biblioteca Pública Municipal de Carracedelo;Biblioteca Pública Municipal de Carracedelo;Maria Cruz Miguel Álvarez;Plaza del Ayuntamiento, 1. 24549 Carracedelo (León);Plaza del Ayuntamiento, 1;24549;Carracedelo;1,18E+12;;987 562 659, 987 562 610 (Ayto.);;;aytocarracedelo@terra.es;;42.55602819099177#-6.732516288757324#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194937148058/DirectorioPadre
Biblioteca Pública Municipal de Quintanilla de Sollamas;"Biblioteca Pública Municipal ""Llamas de la Ribera"" de Quintanilla de Sollamas";Mercedes Pérez Fernández;C/ Real, s/n. 24271 Quintanilla de Sollamas (León);C/ Real, s/n;24271;Llamas de la Ribera;1,18E+12;;987 362 404, 987 362 013 (Ayto.);;;aytollamas@forum.com, casaculturaquintanilla@yahoo.es;;42.60582114480659#-5.819942951202393#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194937148796/DirectorioPadre
Biblioteca Azcárate. León;Biblioteca Azcárate de la Fundación Sierra Pambley. León;;C/ Sierra Pambley, 2. 24003 León;C/ Sierra Pambley, 2;24003;León;1,18E+12;;987 229 369;;;biblioteca1@sierrapambley.org;http://www.sierrapambley.org/biblioteca-azcarate/;42.5992744140655#-5.56781530380249#100;;León;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1201083669562/DirectorioPadre
Biblioteca Pública Municipal de Armunia;Biblioteca Pública Municipal de Armunia;;San Juan Bosco, 33. 24009 León;San Juan Bosco, 33;24009;León;1,18E+12;;987 218 760, 987 276 998 (Ayto.);;;;;42.57599596720626#-5.588779449462891#94;;León;1,28E+12;1,21E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1213708662866/DirectorioPadre
Biblioteca Pública de León;;;;C/ Santa Nonia, 5;24003;León;1,18E+12;;987 206 710;;987 203 025;bpleon@jcyl.es;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla66y33/1284212879528/_/_/_;42.59542818513674#-5.571860074996948#100;;León;1,28E+12;1,28E+12;20140313;http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1284248875439/DirectorioPadre
Biblioteca Pública Municipal de Astudillo;;Luis Ángel Celada Villandiego;;C/ Juan de Tapia, s/n;34450;Astudillo;1,18E+12;;979 822 033;;;registro@astudillo.es;;42.19315495240491#-4.296244382858276#100;;Palencia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1194332695389/DirectorioPadre
"Biblioteca Pública Municipal ""Fray Miguel de Benavides"" de Carrión de los Condes (Palencia)";;María Ángeles Castrillo Martínez;;Pza. Condes de Carrión s/n;34120;Carrión de los Condes;1,18E+12;;979 880 631;;;bibliocarrion@yahoo.es;http://www.bibliotecaspublicas.info/bpcyl/info/detalle_biblioteca?c_biblioteca_id=94&contenedor=contenedor_popup;42.337396387789504#-4.604537487030029#106;;Palencia;1,28E+12;1,19E+12;20140515;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1194332703050/DirectorioPadre
Biblioteca Pública Municipal de Frómista;;Soraya Plaza Aparicio;C/ Las Francesas, s/n. 34440 Frómista;C/ Las Francesas, s/n;34440;Frómista;1,18E+12;;979 810 502;;;turismo@fromista@com;;42.267575740759376#-4.409090280532837#100;;Palencia;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196631628/DirectorioPadre
Biblioteca Pública Municipal de Saldaña;;Pilar Montes Maldonado;Avda. José Quintana, s/n. 34100 Saldaña;Avda. José Quintana, s/n;34100;Saldaña;1,18E+12;;979 891 134;;;biblioteca@saldania.com;;42.52405222281225#-4.7348713874816894#94;;Palencia;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196674553/DirectorioPadre
Biblioteca Pública Municipal de Villada;;Katia Ayerza Sanzo;Plaza Mayor, s/n. 34340 Villada;Plaza Mayor, s/n;34340;Villada;1,18E+12;;;;;bibliovi@hotmail.hotmail.com;;42.250860950068564#-4.966925382614136#106;;Palencia;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1195196692731/DirectorioPadre
Centro de Documentación del Arte Románico;;;Monasterio de Santa María la Real, 34800 Aguilar de Campoo, Palencia;Monasterio de Santa María la Real;34800;Aguilar de Campoo;1,18E+12;;979 125 000;;;info@santamarialareal.org;http://www.romanicodigital.com/centro-documentacion-arte-romanico.aspx;42.79574704878071#-4.272222518920898#94;;Palencia;1,28E+12;1,28E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1284224801374/DirectorioPadre
Biblioteca Pública Municipal de Fuenteguinaldo;Biblioteca Pública Municipal de Fuenteguinaldo;Tomi Sánchez Carreño;Plaza de la Constitución, 1. 37540 Fuenteguinaldo (Salamanca);Plaza de la Constitución, 1;37540;Fuenteguinaldo;1,18E+12;;923 471 000;;923 471 001;tomibibli@hotmail.com;;40.44786150194002#-6.747751235961914#82;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195686970803/DirectorioPadre
Biblioteca Pública Municipal de Guijuelo;;María A. Pérez González;;C/ Teso de la Feria, 9;37770;Guijuelo;1,18E+12;;923 581 970;;923 580 787;biblioteca@guijuelo.es;;40.56047123499004#-5.671820640563965#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195686993637/DirectorioPadre
Biblioteca Pública Municipal de Cabrerizos;;Javier Alonso González;;Avda. del Manzano, s/n;37196;Cabrerizos;1,18E+12;;923 209 183;;923 289 093;jalonsagra@hotmail.com;;40.98002766348274#-5.6108808517456055#88;;Salamanca;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSalamanca/es/Plantilla100Detalle/1284212879599/_/1195801293848/DirectorioPadre
Biblioteca Pública Municipal de Ayllón;;Mª Carmen Melchor Pacheco;Plza. Obispo Vellosillo, 1. 40520 Ayllón;Plza. Obispo Vellosillo, 1;40520;Ayllón;1,18E+12;;921 553 916;921 553 336;;biblioteca@ayllon.es;;41.42086311158452#-3.3771800994873047#94;;Segovia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1191823340728/DirectorioPadre
Biblioteca Pública Municipal de Nava de la Asunción;;Laura García Sánchez;Plza. Mayor, s/n. 40450 Nava de la Asunción;Plza. Mayor, s/n;40450;Nava de la Asunción;1,18E+12;;921 580 143;;;biblioteca@navadelaasuncion.org;;41.15650003984256#-4.488698244094849#100;;Segovia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1191909671072/DirectorioPadre
Centro de Documentación del CENEAM;;Rosario Toril;;Paseo José Mª Ruiz-Dana, s/n;40109;Pradera de Navalhorno (La);1,18E+12;;921 473 869;921 471 746;;bib.ceneam@oapn.es, doc.ceneam@oapn.es;http://www.magrama.gob.es/es/ceneam/centro-de-documentacion-ceneam;40.87302619480758#-4.019966125488281#88;;Segovia;1,28E+12;1,23E+12;20140514;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1230984547003/DirectorioPadre
Biblioteca Pública Municipal de Mayorga de Campos (Centro Cívico Modesto Lafuente);;Lorena Peláez Claro;;C/ Derecha, 23;47680;Mayorga;1,18E+12;;983 752 027;;;biblioteca_mayorga@hotmail.com;;42.1674113938766#-5.263309478759766#88;;Valladolid;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641886620/DirectorioPadre
Biblioteca Pública Municipal de Simancas;;Evangelina Valentín Gómez;;C/ Cañuelo, s/n;47130;Simancas;1,18E+12;;983 590 409;;;evabiblio@hotmail.com;http://www.aytosimancas.es/desarrolloSecciones.php?sec_id=35;41.58871053907875#-4.829156398773193#94;;Valladolid;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1193641922144/DirectorioPadre
Biblioteca Pública Municipal de Cabezón de Pisuerga;;Esperanza Martín Torres;;C/ Constitución 7;47260;Cabezón de Pisuerga;1,18E+12;;983 500 616;;983 500 666;martine@aytocabezondepisuerga.es;;41.73519798789358#-4.645929336547852#88;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1200230041267/DirectorioPadre
"Biblioteca Pública Municipal ""Rosa Chacel""";;Valle Caballero Herrero;;Centro Cívico Zona Sur. Pza. Juan de Austria, 11;47006;Valladolid;1,18E+12;;983 426 343;;;bmrc@ava.es;;19.734755#-101.17113#88;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286543487/DirectorioPadre
"Biblioteca Pública Municipal ""Rondilla""";"Biblioteca Pública Municipal ""Rondilla"" de Valladolid";Isabel Rojo García;;Centro Cívico Rondilla. C/ Alberto Fernández, 3.;47010;Valladolid;1,18E+12;;983 426 408;;;bmro@ava.es;;41.66397#-4.725782#88;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286660189/DirectorioPadre
Punto de Préstamo Barrio Esgueva. Valladolid;;;;Centro Cívico. C/ Madre de Dios, 20;47011;Valladolid;1,18E+12;;983 310 529;;;;;41.659992064835016#-4.715838432312012#88;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202286784852/DirectorioPadre
Punto de Préstamo Barrio de San Pedro Regalado. Valladolid;;;;Centro de Actividades Ciudadanas. C/ Arturo Moliner, s/n;47011;Valladolid;1,18E+12;;983 252 435;;;;;41.6681673969973#-4.707555770874023#88;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202287460555/DirectorioPadre
Biblioteca General Universitaria Reina Sofía. Valladolid;;Carmen de Miguel Murado;;C/ Chancillería, 6;47003;Valladolid;1,18E+12;;983 423 029;983 423 030;;biblioteca.reina.sofia@uva.es;http://www.uva.es/opencms/contenidos/valladolid/bibliotecas/reinaSofia/;41.659318755925156#-4.717512130737305#82;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1202287795116/DirectorioPadre
Biblioteca Diocesana de Zamora;;José Ángel Rivera de las Heras;Obispado de Zamora. Puerta del Obispo, 2. 49001 Zamora;Obispado de Zamora. Puerta del Obispo, 2;49001;Zamora;1,18E+12;;980 531 802;980 509 082;;ahdza@planalfa.es;http://www.obispadodezamora.es;41.498694281902445#-5.754432678222656#94;;Zamora;1,28E+12;1,20E+12;20140313;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1196836287729/DirectorioPadre
Biblioteca Pública Municipal de Fuentes de Ropel;Biblioteca Pública Municipal de Fuentes de Ropel;Mª Ángeles Gallego González;Plaza de Alfonso XIII, 1. 49670 Fuentes de Ropel (Zamora);Plaza de Alfonso XIII, 1;48670;Fuentes de Ropel;1,18E+12;;980 663 005 (Ayto.);;980 663 005 (Ayto.);;;42.0028126876299#-5.54534912109375#88;;Zamora;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaZamora/es/Plantilla100Detalle/1284212879708/_/1203344048445/DirectorioPadre
Biblioteca Pública Municipal de Duruelo de la Sierra;;Marta Irene Garijo Abad;C/ La iglesia, s/n. 42158 Duruelo de la Sierra;C/ La iglesia, s/n;42158;Duruelo de la Sierra;1,18E+12;;;;;bpm.duruelo@gmail.com;;41.95559664143345#-2.9311180114746093#82;;Soria;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSoria/es/Plantilla100Detalle/1284212879671/_/1194247012437/DirectorioPadre
Biblioteca Pública Municipal de Aldeamayor de San Martín;;Carolina García García;;C/ Humilladero, 1;47126;Aldeamayor de San Martín;1,18E+12;;983 558 468;;;carolgarciagarcia@yahoo.es;;41.51259435220713#-4.63773250579834#88;;Valladolid;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1200230033689/DirectorioPadre
Biblioteca Pública Municipal de Villaralbo;Biblioteca Pública Municipal de Villaralbo;;;C/ Arcenillas, 9;49159;Villaralbo;1,18E+12;;980 539 710 (Ayto.);;980 539 928 (Ayto.);BPM.VALBO@gmail.com;;41.4889704940141#-5.679888725280762#88;;Zamora;1,28E+12;1,20E+12;20140825;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1203343841427/DirectorioPadre
Biblioteca Pública Municipal de Sotillo de la Adrada;;Pilar Ramos Martínez;;Plaza España, 1;5420;Sotillo de la Adrada;1,18E+12;;918 660 286;;;bibliosotillo@gmail.com;;40.292113061700235#-4.583916664123535#106;;Ávila;1,28E+12;1,19E+12;20140711;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1193120404774/DirectorioPadre
Biblioteca de la Institución Fernán González. Burgos;;;;Paseo del Espolón, 14;9003;Burgos;1,18E+12;;947 200 492;947 200 492;;acafernangonzalez@gmail.com;http://www.burgos.es/otros-servicios/institucion-fernan-gonzalez;42.34071924914486#-3.702392578125#88;;Burgos;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1202287007612/DirectorioPadre
Biblioteca del Museo de Burgos;;Marta Negro;;C/Calera, 25;9002;Burgos;1,18E+12;;947 265 875;947 276 792;;museoburgos@jcyl.es;http://www.museoscastillayleon.jcyl.es/web/jcyl/MuseoBurgos/es/Plantilla66y33/1258120719864/_/_/_;42.339513840022754#-3.700418472290039#88;;Burgos;1,28E+12;1,20E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaBurgos/es/Plantilla100Detalle/1284212879414/_/1202288127441/DirectorioPadre
Biblioteca Pública Municipal de Boñar;Biblioteca Pública Municipal de Boñar;María Ángeles del Río Alonso;C/ Las Escuelas, 61. 24850 Boñar (León);C/ Las Escuelas, 61;24850;Boñar;1,18E+12;;987 735 486, 987 735 357 (Ayto.);;;;;42.86624541603672#-5.3156232833862305#88;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505184608/DirectorioPadre
Biblioteca Pública Municipal de Santa Lucía de Gordón;"Biblioteca Pública Municipal ""Miguel de Cervantes"" de Santa Lucía de Gordón";Laude Gabela Bayón;C/ Maestro José de Paz, s/n. 24650 Santa Lucía de Gordón (León);C/ Maestro José de Paz, s/n;24650;Pola de Gordón (La);1,18E+12;;987 586 042, 987 588 003 (Ayto.);;;;;42.873683965486244#-5.640149116516113#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194505257240/DirectorioPadre
Biblioteca Pública Municipal de Trobajo del Cerecedo;Biblioteca Pública Municipal de Trobajo del Cerecedo;Susana Ropero Prieto;C/ del Caño, s/n. 24192 Trobajo del Cerecedo (León);C/ del Caño, s/n;24192;León;1,18E+12;;987 214 120;;;cerebiblio@centrocerecedo.com;;42.56256365947061#-5.579531192779541#94;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194591165453/DirectorioPadre
Biblioteca Pública Municipal de Valencia de Don Juan;Biblioteca Pública Municipal de Valencia de Don Juan;María Aurora Martínez Santos;Plaza del Salvador, s/n. 24200 Valencia de Don Juan (León);Plaza del Salvador, s/n;24200;Valencia de Don Juan;1,18E+12;;987 752 372, 987 750 001 (Ayto.);987 750 582 (Ayto.);;;;42.29118328963544#-5.5189454555511475#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194850902655/DirectorioPadre
Biblioteca Pública Municipal de Murias de Paredes;Biblioteca Pública Municipal de Murias de Paredes;Ana Álvarez;C/ Barrio de Dios, s/n. 24130 Murias de Paredes (León);C/ Barrio de Dios, s/n;24130;Murias de Paredes;1,18E+12;;987 593 013, 987 593 007 (Ayto.);;;;;42.850099264613895#-6.189712285995483#100;;León;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaLeon/es/Plantilla100Detalle/1284212879528/_/1194850939298/DirectorioPadre
Biblioteca Pública Municipal San Lorenzo;Biblioteca Pública Municipal San Lorenzo;;Santa Teresa de Jesús, 8. 24007 León;Santa Teresa de Jesús, 8;24007;León;1,18E+12;;987 245 255, 987 276 998 (Ayto.);;;educacion.jbs@aytoleon.com, educacion.jmc@aytoleon.com;;42.603357317225864#-5.566034317016602#88;;León;1,28E+12;1,21E+12;20140313;http://www.datosabiertos.jcyl.es/web/jcyl/RISP/es/Plantilla100Detalle/1284162055979/_/1213708662360/DirectorioPadre
"Biblioteca Pública Municipal ""Miguel de Unamuno"" de Palencia";;Ana Ruth Bustillo Torres;C/ Miguel de Unamuno s/n. 34004 Palencia;C/ Miguel de Unamuno, s/n;34004;Palencia;1,18E+12;;979 710 877;;;arbustillo@aytopalencia.es;;42.00368968150856#-4.521281719207764#94;;Palencia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1191563299709/DirectorioPadre
Biblioteca Pública Municipal de Alar del Rey;;Alicia del Campo Santamarta;;Travesía César Albiñana;34480;Alar del Rey;1,18E+12;;979 133 553;;;biblioalar@hotmail.com;;42.657420661337184#-4.312337636947632#100;;Palencia;1,28E+12;1,19E+12;20140326;http://www.cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/_/1194332686105/DirectorioPadre
Biblioteca Pública Municipal de Cervera de Pisuerga;;Mª Paz Isla Zamarrón;C/Calvo Sotelo nº 10. 34840 Cervera de Pisuerga;C/Calvo Sotelo nº 10;34840;Cervera de Pisuerga;1,18E+12;;979 870 325;;;maripazisla@hotmail.com;;42.86262017436036#-4.498322010040283#100;;Palencia;1,28E+12;1,19E+12;20140313;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaPalencia/es/Plantilla100Detalle/1284212879564/_/1194332703868/DirectorioPadre
